ICD-10 code	ICD-10 code description	ICD-10 group	Ideation or action	Past or present 
T38.902A	Poisoning by unspecified hormone antagonists, self-harm, initial	self_harm	action	present
T38.902D	Poisoning by unspecified hormone antagonists, self-harm, subsequent	self_harm	action	past
T38.902D	Poisoning by unspecified hormone antagonists, self-harm, subsequent	self_harm	action	present
T38.902S	Poisoning by unspecified hormone antagonists, self-harm, sequela	self_harm	action	past
T38.902S	Poisoning by unspecified hormone antagonists, self-harm, sequela	self_harm	action	present
T38.992	Poisoning by other hormone antagonists, intentional self-harm	self_harm	action	present
T38.992A	Poisoning by other hormone antagonists, self-harm, initial	self_harm	action	present
T38.992D	Poisoning by other hormone antagonists, self-harm, subsequent	self_harm	action	past
T38.992D	Poisoning by other hormone antagonists, self-harm, subsequent	self_harm	action	present
T38.992S	Poisoning by other hormone antagonists, self-harm, sequela	self_harm	action	past
T38.992S	Poisoning by other hormone antagonists, self-harm, sequela	self_harm	action	present
T39.012	Poisoning by aspirin, intentional self-harm	self_harm	action	present
T39.012A	Poisoning by aspirin, intentional self-harm, initial encounter	self_harm	action	present
T39.012D	Poisoning by aspirin, intentional self-harm, subsequent encounter	self_harm	action	past
T39.012D	Poisoning by aspirin, intentional self-harm, subsequent encounter	self_harm	action	present
T39.012S	Poisoning by aspirin, intentional self-harm, sequela	self_harm	action	past
T39.012S	Poisoning by aspirin, intentional self-harm, sequela	self_harm	action	present
T39.092	Poisoning by salicylates, intentional self-harm	self_harm	action	present
T39.092A	Poisoning by salicylates, intentional self-harm, initial encounter	self_harm	action	present
T39.092D	Poisoning by salicylates, intentional self-harm, subsequent encounter	self_harm	action	past
T39.092D	Poisoning by salicylates, intentional self-harm, subsequent encounter	self_harm	action	present
T39.092S	Poisoning by salicylates, intentional self-harm, sequela	self_harm	action	past
T39.092S	Poisoning by salicylates, intentional self-harm, sequela	self_harm	action	present
T39.1X2	Poisoning by 4-Aminophenol derivatives, self-harm	self_harm	action	present
T39.1X2A	Poisoning by 4-Aminophenol derivatives, self-harm, initial	self_harm	action	present
T39.1X2D	Poisoning by 4-Aminophenol derivatives, self-harm, subsequent	self_harm	action	past
T39.1X2D	Poisoning by 4-Aminophenol derivatives, self-harm, subsequent	self_harm	action	present
T39.1X2S	Poisoning by 4-Aminophenol derivatives, self-harm, sequela	self_harm	action	past
T39.1X2S	Poisoning by 4-Aminophenol derivatives, self-harm, sequela	self_harm	action	present
T39.2X2	Poisoning by pyrazolone derivatives, intentional self-harm	self_harm	action	present
T39.2X2A	Poisoning by pyrazolone derivatives, self-harm, initial	self_harm	action	present
T39.2X2D	Poisoning by pyrazolone derivatives, self-harm, subsequent	self_harm	action	past
T39.2X2D	Poisoning by pyrazolone derivatives, self-harm, subsequent	self_harm	action	present
T39.2X2S	Poisoning by pyrazolone derivatives, self-harm, sequela	self_harm	action	past
T39.2X2S	Poisoning by pyrazolone derivatives, self-harm, sequela	self_harm	action	present
T39.312	Poisoning by propionic acid derivatives, self-harm	self_harm	action	present
T39.312A	Poisoning by propionic acid derivatives, self-harm, initial	self_harm	action	present
T39.312D	Poisoning by propionic acid derivatives, self-harm, subsequent	self_harm	action	past
T39.312D	Poisoning by propionic acid derivatives, self-harm, subsequent	self_harm	action	present
T39.312S	Poisoning by propionic acid derivatives, self-harm, sequela	self_harm	action	past
T39.312S	Poisoning by propionic acid derivatives, self-harm, sequela	self_harm	action	present
T39.392	Poisoning by other nonsteroidal anti-inflam drugs, self-harm	self_harm	action	present
T39.392A	Poisoning by other nonsteroid anti-inflam drugs, self-harm, initial	self_harm	action	present
T39.392D	Poisoning by other nonsteroid anti-inflam drugs, self-harm, subsequent	self_harm	action	past
T39.392D	Poisoning by other nonsteroid anti-inflam drugs, self-harm, subsequent	self_harm	action	present
T39.392S	Poisoning by other nonsteroid anti-inflam drugs, Self-harm, sequela	self_harm	action	past
T39.392S	Poisoning by other nonsteroid anti-inflam drugs, Self-harm, sequela	self_harm	action	present
T39.4X2	Poisoning by antirheumatics, NEC, intentional self-harm	self_harm	action	present
T39.4X2A	Poisoning by antirheumatics, NEC, self-harm, initial	self_harm	action	present
T39.4X2D	Poisoning by antirheumatics, NEC, self-harm, subsequent	self_harm	action	past
T39.4X2D	Poisoning by antirheumatics, NEC, self-harm, subsequent	self_harm	action	present
T39.4X2S	Poisoning by antirheumatics, NEC, self-harm, sequela	self_harm	action	past
T39.4X2S	Poisoning by antirheumatics, NEC, self-harm, sequela	self_harm	action	present
T39.8X2	Poisoning by other nonopioid analges/antipyret, NEC, self-harm	self_harm	action	present
T39.8X2A	Poisoning by other nonopio analges/antipyret, NEC, self-harm, initial	self_harm	action	present
T39.8X2D	Poisoning by other nonopio analges/antipyret, NEC, self-harm, subsequent	self_harm	action	past
T39.8X2D	Poisoning by other nonopio analges/antipyret, NEC, self-harm, subsequent	self_harm	action	present
T39.8X2S	Poisoning by other nonopio analges/antipyret, NEC, Self-harm, sequela	self_harm	action	past
T39.8X2S	Poisoning by other nonopio analges/antipyret, NEC, Self-harm, sequela	self_harm	action	present
T39.92XA	Poisoning by unspecified nonopi analgs/antipyr/antirheu, Self-harm, initial	self_harm	action	present
T39.92XD	Poisoning by unspecified nonopi analgs/antipyr/antirheu, Self-harm, subsequent	self_harm	action	past
T39.92XD	Poisoning by unspecified nonopi analgs/antipyr/antirheu, Self-harm, subsequent	self_harm	action	present
T39.92XS	Poisoning by unspecified nonopi analgs/antipyr/antirheu, Self-harm, sequela	self_harm	action	past
T39.92XS	Poisoning by unspecified nonopi analgs/antipyr/antirheu, Self-harm, sequela	self_harm	action	present
T40.0X2	Poisoning by opium, intentional self-harm	self_harm	action	present
